GeneSymbol,Chromosome,Start,ReferenceAllele,AlternateAllele,ClinicalSignificance,PhenotypeList,Assembly,Type
HOGA1,10,97611535,na,na,Pathogenic,Primary hyperoxaluria type 3|not provided,GRCh38,single nucleotide variant
HOGA1,10,97598852,na,na,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided|HOGA1-related disorder,GRCh38,single nucleotide variant
HOGA1,10,97600167,na,na,Pathogenic,Primary hyperoxaluria type 3,GRCh38,single nucleotide variant
HOGA1,10,97584912,na,na,Pathogenic,Primary hyperoxaluria type 3|not provided,GRCh38,single nucleotide variant
HOGA1,10,97601925,na,na,Pathogenic/Likely pathogenic,Primary hyperoxaluria type 3|not provided,GRCh38,single nucleotide variant
FAM161A,2,61840319,na,na,Pathogenic,Retinitis pigmentosa 28|Retinal dystrophy|not provided|Autosomal recessive retinitis pigmentosa,GRCh38,single nucleotide variant
FAM161A,2,61839695,na,na,Pathogenic,Retinitis pigmentosa 28|not provided|Cone-rod dystrophy|Retinitis pigmentosa|Retinal dystrophy,GRCh38,single nucleotide variant
FAM161A,2,61839437,na,na,Pathogenic,Retinitis pigmentosa 28|Retinal dystrophy|not provided|Retinitis pigmentosa,GRCh38,single nucleotide variant
FAM161A,2,61836075,na,na,Pathogenic,Retinitis pigmentosa 28|not provided,GRCh38,single nucleotide variant
WDR62,19,36084678,na,na,Uncertain significance,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations|not provided|Autosomal recessive primary microcephaly|Inborn genetic diseases",GRCh38,single nucleotide variant
WDR62,19,36067415,na,na,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",GRCh38,single nucleotide variant
WDR62,19,36083099,na,na,Pathogenic,"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",GRCh38,single nucleotide variant
WDPCP,2,63492941,na,na,Pathogenic,Bardet-Biedl syndrome 15,GRCh38,single nucleotide variant
WDPCP,2,63437430,na,na,risk factor,"Bardet-Biedl syndrome 12, modifier of",GRCh38,single nucleotide variant
WDPCP,2,63487491,na,na,risk factor,"Meckel syndrome, type 6, modifier of",GRCh38,single nucleotide variant
TBC1D24,16,2496587,na,na,Pathogenic,"Familial infantile myoclonic epilepsy|Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24",GRCh38,single nucleotide variant
TBC1D24,16,2500822,na,na,Conflicting classifications of pathogenicity,"Familial infantile myoclonic epilepsy|Developmental and epileptic encephalopathy, 1;Autosomal dominant nonsyndromic hearing loss 65;Caused by mutation in the TBC1 domain family, member 24|DOORS syndrome|not provided|Inborn genetic diseases",GRCh38,single nucleotide variant
TBC1D24,16,2496899,na,na,Pathogenic,Familial infantile myoclonic epilepsy,GRCh38,single nucleotide variant
XPNPEP3,22,40924482,na,na,Pathogenic,Nephronophthisis-like nephropathy 1,GRCh38,single nucleotide variant
CEP152,15,48793359,na,na,Pathogenic/Likely pathogenic,"Microcephaly 9, primary, autosomal recessive|CEP152-related disorder|not provided|Microcephaly 9, primary, autosomal recessive;Seckel syndrome 5",GRCh38,single nucleotide variant
CEP152,15,48756289,na,na,Pathogenic/Likely pathogenic,"Microcephaly 9, primary, autosomal recessive|not provided",GRCh38,single nucleotide variant
SDCCAG8,1,243305133,na,na,Pathogenic/Likely pathogenic,Bardet-Biedl syndrome 16|Senior-Loken syndrome 7|Bardet-Biedl syndrome|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7|SDCCAG8-related disorder,GRCh38,single nucleotide variant
SDCCAG8,1,243304716,na,na,Pathogenic,Bardet-Biedl syndrome 16|Bardet-Biedl syndrome 16;Senior-Loken syndrome 7,GRCh38,single nucleotide variant
OPN1SW,7,128775556,na,na,Likely benign,Blue color blindness|not provided,GRCh38,single nucleotide variant
OPN1SW,7,128774545,na,na,Uncertain significance,Blue color blindness|not provided,GRCh38,single nucleotide variant
OPN1SW,7,128773786,na,na,Uncertain significance,Blue color blindness|not provided,GRCh38,single nucleotide variant
UROD,1,45014803,na,na,Pathogenic/Likely pathogenic,Familial porphyria cutanea tarda|not provided,GRCh38,single nucleotide variant
UROD,1,45014803,na,na,Pathogenic,Hepatoerythropoietic porphyria|Porphyria cutanea tarda|Familial porphyria cutanea tarda|not provided,GRCh38,single nucleotide variant
UROD,1,45014071,na,na,Pathogenic,Familial porphyria cutanea tarda|not provided,GRCh38,single nucleotide variant
UROD,1,45013933,na,na,Uncertain significance,Hepatoerythropoietic porphyria|not provided,GRCh38,single nucleotide variant
UROD,1,45014835,na,na,Pathogenic,Hepatoerythropoietic porphyria,GRCh38,single nucleotide variant
UROD,1,45013187,na,na,Pathogenic,Hepatoerythropoietic porphyria|not provided,GRCh38,single nucleotide variant
UROD,1,45014996,na,na,Conflicting classifications of pathogenicity,Hepatoerythropoietic porphyria|Sporadic porphyria cutanea tarda|not provided,GRCh38,single nucleotide variant
UROD,1,45015006,na,na,Likely pathogenic,Familial porphyria cutanea tarda|not provided|UROD-related disorder,GRCh38,single nucleotide variant
UROD,1,45013928,na,na,Pathogenic/Likely pathogenic,Familial porphyria cutanea tarda|not provided,GRCh38,single nucleotide variant
UROD,1,45014017,na,na,Pathogenic,Familial porphyria cutanea tarda,GRCh38,single nucleotide variant
UROD,1,45014976,na,na,Pathogenic,Familial porphyria cutanea tarda|not provided,GRCh38,single nucleotide variant
UROD,1,45015389,na,na,Conflicting classifications of pathogenicity,Familial porphyria cutanea tarda,GRCh38,single nucleotide variant
LIPA,10,89225168,na,na,Pathogenic,Wolman disease|Lysosomal acid lipase deficiency|Cholesteryl ester storage disease,GRCh38,single nucleotide variant
LIPA,10,89223710,na,na,Pathogenic,Lysosomal acid lipase deficiency|Cholesteryl ester storage disease|not provided|Wolman disease|Cholesteryl ester storage disease;Wolman disease,GRCh38,single nucleotide variant
LIPA,10,89222510,na,na,Pathogenic,Wolman disease,GRCh38,single nucleotide variant
LIPA,10,89245776,na,na,Pathogenic,Wolman disease,GRCh38,single nucleotide variant
HPSE2,10,98482733,na,na,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|not provided,GRCh38,single nucleotide variant
HPSE2,10,98490103,na,na,Pathogenic,Urofacial syndrome type 1|not provided,GRCh38,single nucleotide variant
HPSE2,10,99144391,na,na,Pathogenic/Likely pathogenic,Urofacial syndrome type 1|Congenital anomaly of kidney and urinary tract|not provided,GRCh38,single nucleotide variant
ASAH1,8,18061724,na,na,Pathogenic,Farber lipogranulomatosis,GRCh38,single nucleotide variant
ASAH1,8,18064501,na,na,Likely pathogenic,Farber lipogranulomatosis|not provided,GRCh38,single nucleotide variant
ASAH1,8,18075559,na,na,Pathogenic/Likely pathogenic,Farber lipogranulomatosis|not provided,GRCh38,single nucleotide variant
ASAH1,8,18059424,na,na,Pathogenic,Farber lipogranulomatosis,GRCh38,single nucleotide variant
ASAH1,8,18062383,na,na,Pathogenic,Farber lipogranulomatosis,GRCh38,single nucleotide variant
TCN2,22,30615623,na,na,Benign,TCN2 POLYMORPHISM|not specified|Transcobalamin II deficiency|not provided,GRCh38,single nucleotide variant
TCN2,22,30613044,na,na,Pathogenic,Transcobalamin II deficiency,GRCh38,single nucleotide variant
TCN2,22,30615125,na,na,Pathogenic,Transcobalamin II deficiency,GRCh38,single nucleotide variant
PCARE,2,29073503,na,na,Pathogenic,Retinitis pigmentosa 54,GRCh38,single nucleotide variant
PCARE,2,29073661,na,na,Uncertain significance,Retinitis pigmentosa 54|not provided,GRCh38,single nucleotide variant
PCARE,2,29073706,na,na,Pathogenic,Retinitis pigmentosa 54|Retinitis pigmentosa,GRCh38,single nucleotide variant
MIR2861,9,127785950,na,na,association,BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 15,GRCh38,single nucleotide variant
TMEM127,2,96254117,na,na,Pathogenic,"Pheochromocytoma, susceptibility to|Pheochromocytoma|Hereditary pheochromocytoma-paraganglioma",GRCh38,single nucleotide variant
TMEM127,2,96254050,na,na,Pathogenic/Likely pathogenic,"Pheochromocytoma, susceptibility to|Pheochromocytoma|Hereditary cancer-predisposing syndrome|Hereditary pheochromocytoma-paraganglioma",GRCh38,single nucleotide variant
TMEM127,2,96254998,na,na,Pathogenic/Likely pathogenic,"Pheochromocytoma, susceptibility to|Pheochromocytoma|Hereditary pheochromocytoma-paraganglioma|not provided",GRCh38,single nucleotide variant
VIPAS39,14,77444311,na,na,Pathogenic,"Arthrogryposis, renal dysfunction, and cholestasis 2",GRCh38,single nucleotide variant
VIPAS39,14,77442636,na,na,Pathogenic,"Arthrogryposis, renal dysfunction, and cholestasis 2",GRCh38,single nucleotide variant
VIPAS39,14,77435885,na,na,Pathogenic,"Arthrogryposis, renal dysfunction, and cholestasis 2",GRCh38,single nucleotide variant
VIPAS39,14,77454101,na,na,Pathogenic,"Arthrogryposis, renal dysfunction, and cholestasis 2",GRCh38,single nucleotide variant
CBS,21,43062988,na,na,Pathogenic,"Homocystinuria, pyridoxine-nonresponsive|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|not provided|Classic homocystinuria|Homocystinuria|Familial thoracic aortic aneurysm and aortic dissection|CBS-related disorder",GRCh38,single nucleotide variant
CBS,21,43066260,na,na,Pathogenic/Likely pathogenic,"Homocystinuria, pyridoxine-responsive|Classic homocystinuria|Homocystinuria|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED",GRCh38,single nucleotide variant
CBS,21,43066353,na,na,Pathogenic/Likely pathogenic,"Homocystinuria, pyridoxine-responsive|not provided|Homocystinuria|Classic homocystinuria|CBS-related disorder|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Familial thoracic aortic aneurysm and aortic dissection",GRCh38,single nucleotide variant
CBS,21,43063074,na,na,Pathogenic,"Homocystinuria, pyridoxine-responsive|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Classic homocystinuria|not provided|Intellectual disability|Homocystinuria|Connective tissue disorder|See cases|Familial thoracic aortic aneurysm and aortic dissection|Thoracic aortic aneurysm or dissection",GRCh38,single nucleotide variant
CBS,21,43066279,na,na,Conflicting classifications of pathogenicity,"Homocystinuria, pyridoxine-responsive|not specified|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED",GRCh38,single nucleotide variant
CBS,21,43066264,na,na,Pathogenic/Likely pathogenic,"Homocystinuria, pyridoxine-responsive|Classic homocystinuria|not provided|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Homocystinuria|CBS-related disorder",GRCh38,single nucleotide variant
CBS,21,43059299,na,na,Likely pathogenic,"Homocystinuria, pyridoxine-responsive|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED",GRCh38,single nucleotide variant
CBS,21,43053920,na,na,Likely pathogenic,"Homocystinuria, pyridoxine-responsive|Classic homocystinuria|Homocystinuria|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED",GRCh38,single nucleotide variant
CBS,21,43063931,na,na,Pathogenic/Likely pathogenic,"Homocystinuria, pyridoxine-responsive|Homocystinuria|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Classic homocystinuria|not provided|Familial thoracic aortic aneurysm and aortic dissection",GRCh38,single nucleotide variant
CBS,21,43058862,na,na,Pathogenic/Likely pathogenic,"HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Homocystinuria, pyridoxine-responsive|Classic homocystinuria|not provided|Homocystinuria|CBS-related disorder|Familial thoracic aortic aneurysm and aortic dissection",GRCh38,single nucleotide variant
CBS,21,43065645,na,na,Conflicting classifications of pathogenicity,"Homocystinuria, pyridoxine-responsive|not provided|Classic homocystinuria|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Familial thoracic aortic aneurysm and aortic dissection|Homocystinuria",GRCh38,single nucleotide variant
CBS,21,43058970,na,na,Pathogenic,"Homocystinuria, pyridoxine-responsive|Classic homocystinuria|not provided|Homocystinuria|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|CBS-related disorder|Familial thoracic aortic aneurysm and aortic dissection",GRCh38,single nucleotide variant
CBS,21,43058927,na,na,Conflicting classifications of pathogenicity,"HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|not provided|Familial thoracic aortic aneurysm and aortic dissection|Classic homocystinuria",GRCh38,single nucleotide variant
CBS,21,43058215,na,na,Conflicting classifications of pathogenicity,"HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Classic homocystinuria|Familial thoracic aortic aneurysm and aortic dissection|not specified",GRCh38,single nucleotide variant
CBS,21,43060528,na,na,Pathogenic,"Homocystinuria, pyridoxine-nonresponsive|Classic homocystinuria|not provided|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|Homocystinuria|Familial thoracic aortic aneurysm and aortic dissection",GRCh38,single nucleotide variant
CBS,21,43065481,na,na,Pathogenic,"Homocystinuria, pyridoxine-nonresponsive|not provided|Homocystinuria|Classic homocystinuria|Familial thoracic aortic aneurysm and aortic dissection|HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED|CBS-related disorder",GRCh38,single nucleotide variant
TPRN,9,137199473,na,na,Pathogenic/Likely pathogenic,"Autosomal recessive nonsyndromic hearing loss 79|Hearing loss, autosomal recessive",GRCh38,single nucleotide variant
SLC52A3,20,765564,na,na,Pathogenic,Brown-Vialetto-van Laere syndrome 1,GRCh38,single nucleotide variant
SLC52A3,20,765381,na,na,Uncertain significance,Brown-Vialetto-van Laere syndrome 1,GRCh38,single nucleotide variant
SLC52A3,20,763901,na,na,Pathogenic,Brown-Vialetto-van Laere syndrome 1,GRCh38,single nucleotide variant
SLC52A3,20,765669,na,na,Conflicting classifications of pathogenicity,Brown-Vialetto-van Laere syndrome 1|not provided|Progressive bulbar palsy of childhood,GRCh38,single nucleotide variant
SLC52A3,20,761198,na,na,Uncertain significance,Brown-Vialetto-van Laere syndrome 1|not specified,GRCh38,single nucleotide variant
SLC52A3,20,765693,na,na,Pathogenic,Brown-Vialetto-van Laere syndrome 1,GRCh38,single nucleotide variant
OAT,10,124412169,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124398076,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency|not provided|Retinal dystrophy,GRCh38,single nucleotide variant
OAT,10,124412009,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124408887,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124408601,na,na,Conflicting classifications of pathogenicity,Ornithine aminotransferase deficiency|Hyperornithinemia,GRCh38,single nucleotide variant
OAT,10,124405545,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124403019,na,na,Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124403015,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124398057,na,na,Pathogenic,Ornithine aminotransferase deficiency|Hyperornithinemia,GRCh38,single nucleotide variant
OAT,10,124398012,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124397951,na,na,Benign,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124400875,na,na,Conflicting classifications of pathogenicity,Ornithine aminotransferase deficiency|Retinal dystrophy|not specified,GRCh38,single nucleotide variant
OAT,10,124403835,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124400865,na,na,Benign,Ornithine aminotransferase deficiency|not provided|not specified,GRCh38,single nucleotide variant
OAT,10,124401746,na,na,Pathogenic/Likely pathogenic,Gyrate atrophy of choroid and retina with pyridoxine-responsive ornithinemia|Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124412010,na,na,Conflicting classifications of pathogenicity,Ornithine aminotransferase deficiency|not specified,GRCh38,single nucleotide variant
OAT,10,124401785,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124405534,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124403847,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency|Hyperornithinemia,GRCh38,single nucleotide variant
OAT,10,124403820,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124400941,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency|not provided,GRCh38,single nucleotide variant
OAT,10,124398090,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124398082,na,na,Uncertain significance,Ornithine aminotransferase deficiency|not specified,GRCh38,single nucleotide variant
OAT,10,124398061,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124405457,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124402930,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency|Retinal dystrophy|not provided,GRCh38,single nucleotide variant
OAT,10,124397986,na,na,Pathogenic,Ornithine aminotransferase deficiency|Hyperornithinemia,GRCh38,single nucleotide variant
OAT,10,124405551,na,na,Pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124403003,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124403892,na,na,Pathogenic/Likely pathogenic,Gyrate atrophy of choroid and retina with pyridoxine-responsive ornithinemia|Ornithine aminotransferase deficiency|Hyperornithinemia,GRCh38,single nucleotide variant
OAT,10,124408897,na,na,Uncertain significance,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
OAT,10,124405488,na,na,Pathogenic/Likely pathogenic,Ornithine aminotransferase deficiency,GRCh38,single nucleotide variant
DPYS,8,104428071,na,na,Pathogenic,Dihydropyrimidinase deficiency|not provided,GRCh38,single nucleotide variant
DPYS,8,104392924,na,na,Pathogenic,Dihydropyrimidinase deficiency,GRCh38,single nucleotide variant
DPYS,8,104427994,na,na,Pathogenic/Likely pathogenic,Dihydropyrimidinase deficiency|not provided,GRCh38,single nucleotide variant
DPYS,8,104424247,na,na,Pathogenic,Dihydropyrimidinase deficiency,GRCh38,single nucleotide variant
SH3PXD2B,5,172422445,na,na,Likely pathogenic,Frank-Ter Haar syndrome,GRCh38,single nucleotide variant
SH3PXD2B,5,172422498,na,na,Pathogenic,Frank-Ter Haar syndrome,GRCh38,single nucleotide variant
GRXCR1,4,43020345,na,na,Pathogenic,Autosomal recessive nonsyndromic hearing loss 25|not provided,GRCh38,single nucleotide variant
GRXCR1,4,42963153,na,na,Uncertain significance,Autosomal recessive nonsyndromic hearing loss 25|not provided,GRCh38,single nucleotide variant
GRXCR1,4,42893495,na,na,Pathogenic/Likely pathogenic,"Autosomal recessive nonsyndromic hearing loss 25|Hearing loss, autosomal recessive",GRCh38,single nucleotide variant
GRXCR1,4,42962919,na,na,Uncertain significance,Autosomal recessive nonsyndromic hearing loss 25|not provided,GRCh38,single nucleotide variant
TMEM216,11,61393965,na,na,Pathogenic,"Joubert syndrome 2|Joubert syndrome|Inborn genetic diseases|TMEM216-related disorder|Meckel syndrome, type 2|not provided|Joubert syndrome 2;Meckel syndrome, type 2",GRCh38,single nucleotide variant
TMEM216,11,61393965,na,na,Pathogenic/Likely pathogenic,"Joubert syndrome 2|Meckel syndrome, type 2|Joubert syndrome|Joubert syndrome 2;Meckel syndrome, type 2",GRCh38,single nucleotide variant
TMEM216,11,61397885,na,na,Pathogenic/Likely pathogenic,"Meckel syndrome, type 2",GRCh38,single nucleotide variant
TMEM216,11,61397774,na,na,Pathogenic/Likely pathogenic,"Meckel syndrome, type 2",GRCh38,single nucleotide variant
USB1,16,58017332,na,na,Pathogenic,Poikiloderma with neutropenia,GRCh38,single nucleotide variant
USB1,16,58014325,na,na,Pathogenic,Poikiloderma with neutropenia,GRCh38,single nucleotide variant
KCNJ18,17,21703847,na,na,risk factor,"Thyrotoxic periodic paralysis, susceptibility to, 2",GRCh38,single nucleotide variant
KCNJ18,17,21703400,na,na,risk factor,"Thyrotoxic periodic paralysis, susceptibility to, 2",GRCh38,single nucleotide variant
KCNJ18,17,21703883,na,na,risk factor,"Thyrotoxic periodic paralysis, susceptibility to, 2",GRCh38,single nucleotide variant
PEPD,19,33401862,na,na,Pathogenic,Prolidase deficiency|not provided,GRCh38,single nucleotide variant
PEPD,19,33464060,na,na,Likely pathogenic,Prolidase deficiency|not provided,GRCh38,single nucleotide variant
PEPD,19,33401855,na,na,Pathogenic/Likely pathogenic,Prolidase deficiency|not provided,GRCh38,single nucleotide variant
PEPD,19,33387892,na,na,Pathogenic/Likely pathogenic,Prolidase deficiency|not provided,GRCh38,single nucleotide variant
PEPD,19,33411697,na,na,Pathogenic,Prolidase deficiency|not provided,GRCh38,single nucleotide variant
PEPD,19,33388000,na,na,Pathogenic,Prolidase deficiency,GRCh38,single nucleotide variant
PEPD,19,33464006,na,na,Pathogenic,Prolidase deficiency,GRCh38,single nucleotide variant
AGA,4,177438764,na,na,Pathogenic,"Aspartylglucosaminuria, finnish type|Aspartylglucosaminuria",GRCh38,single nucleotide variant
AGA,4,177433250,na,na,Pathogenic,Aspartylglucosaminuria,GRCh38,single nucleotide variant
AGA,4,177433238,na,na,Likely pathogenic,Aspartylglucosaminuria,GRCh38,single nucleotide variant
AGA,4,177440375,na,na,Likely pathogenic,Aspartylglucosaminuria,GRCh38,single nucleotide variant
AGA,4,177439668,na,na,Pathogenic/Likely pathogenic,Aspartylglucosaminuria|not provided|Autism,GRCh38,single nucleotide variant
AGA,4,177433213,na,na,Pathogenic,Aspartylglucosaminuria,GRCh38,single nucleotide variant
AGA,4,177440340,na,na,Pathogenic,Aspartylglucosaminuria,GRCh38,single nucleotide variant
CYB5A,18,74263479,na,na,Pathogenic,Methemoglobinemia type 4,GRCh38,single nucleotide variant
WDR72,15,53615858,na,na,Pathogenic,Amelogenesis imperfecta hypomaturation type 2A3,GRCh38,single nucleotide variant
WDR72,15,53609531,na,na,Pathogenic,Amelogenesis imperfecta hypomaturation type 2A3|not provided,GRCh38,single nucleotide variant
CYB5R3,22,42628233,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II",GRCh38,single nucleotide variant
CYB5R3,22,42631431,na,na,Likely pathogenic,"METHEMOGLOBINEMIA, TYPE I|not provided|CYB5R3-related disorder",GRCh38,single nucleotide variant
CYB5R3,22,42628169,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE I",GRCh38,single nucleotide variant
CYB5R3,22,42630899,na,na,Uncertain significance,"METHEMOGLOBINEMIA, TYPE I|not provided",GRCh38,single nucleotide variant
CYB5R3,22,42619946,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II",GRCh38,single nucleotide variant
CYB5R3,22,42628144,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II",GRCh38,single nucleotide variant
CYB5R3,22,42623867,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II",GRCh38,single nucleotide variant
CYB5R3,22,42627327,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II",GRCh38,single nucleotide variant
CYB5R3,22,42628265,na,na,Benign,CYB5R3 POLYMORPHISM|not provided|not specified,GRCh38,single nucleotide variant
CYB5R3,22,42627690,na,na,Pathogenic/Likely pathogenic,"METHEMOGLOBINEMIA, TYPE II|Deficiency of cytochrome-b5 reductase|not provided",GRCh38,single nucleotide variant
CYB5R3,22,42631386,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE I",GRCh38,single nucleotide variant
CYB5R3,22,42630986,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II|not provided",GRCh38,single nucleotide variant
CYB5R3,22,42627674,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE II|not provided|Deficiency of cytochrome-b5 reductase",GRCh38,single nucleotide variant
CYB5R3,22,42627326,na,na,Pathogenic,"METHEMOGLOBINEMIA, TYPE I|Hereditary methemoglobinemia",GRCh38,single nucleotide variant
CYB5R3,22,42619804,na,na,Pathogenic/Likely pathogenic,"METHEMOGLOBINEMIA, TYPE I|not provided|Deficiency of cytochrome-b5 reductase",GRCh38,single nucleotide variant
